date,strategy,option_price,stock_price,option_delta,stock_position,cash,portfolio_value,daily_pnl,hedging_error,transaction_cost,turnover,cumulative_pnl
2022-11-17,Dupire Delta Hedge,39.349999999999994,394.25,0.6818321615476419,68.1832161547642,-26266.72041884513,-3320.487449829343,34.584697675541975,34.58469767554026,0.05756523905963587,1.4601202044295718,-16.7320401805664
2022-11-18,Dupire Delta Hedge,40.085,396.14,0.6899423940113134,68.99423940113134,-26588.03129553589,-3265.1532991717213,55.33415065762165,55.33415065762116,0.03212787488158798,0.8110232463671423,38.60211047705525
2022-11-21,Dupire Delta Hedge,39.215,394.59,0.6820613092275009,68.20613092275009,-26277.082669023883,-3285.125468215927,-19.972169044205657,-19.972169044203067,0.03109797244844562,0.7881084783812469,18.62994143284959
2022-11-22,Dupire Delta Hedge,42.47,399.9,0.6855410438178802,68.55410438178802,-26416.251170751777,-3248.464828474749,36.660639741177874,36.66063974117667,0.013915458626926855,0.34797345903793087,55.290581174027466
2022-11-23,Dupire Delta Hedge,43.515,402.42,0.7134222583413388,71.34222583413387,-27538.359205188277,-3180.3206850161223,68.14414345862679,68.14414345862298,0.11219958348530162,2.788121452345848,123.43472463265425
2022-11-24,Dupire Delta Hedge,43.785,402.42,0.7160942850258816,71.60942850258816,-27645.897655797435,-3207.331437785906,-27.01075276978372,-27.01075276978354,0.01075276978393748,0.2672026684542885,96.42397186287053
2022-11-25,Dupire Delta Hedge,44.385000000000005,402.33,0.7167297756154078,71.67297756154079,-27671.467905455134,-3273.778843120428,-66.44740533452205,-66.44740533452492,0.002556769288841215,0.0635490589526313,29.976566528348485
2022-11-28,Dupire Delta Hedge,39.64,395.93,0.6670252060963218,66.70252060963217,-25703.71167978805,-3258.1826948163834,15.596148304044618,15.596148304044105,0.19679530209691784,4.970456951908616,45.5727148323931
2022-11-29,Dupire Delta Hedge,38.915000000000006,395.31,0.6642206752793935,66.42206752793936,-25592.85685865484,-3227.0493441851286,31.13335063125487,31.133350631254782,0.011086590772398557,0.28045308169281213,76.70606546364797
2022-11-30,Dupire Delta Hedge,46.82,407.54,0.7085771257408708,70.85771257408709,-27400.740411040093,-3205.3882285966392,21.661115588489338,21.661115588489476,0.18077027821070446,4.435645046147727,98.36718105213731
2022-12-01,Dupire Delta Hedge,46.79,407.4,0.7119803943609563,71.19803943609563,-27539.403439538728,-3212.3221732733728,-6.9339446767335176,-6.933944676733368,0.013864916358227857,0.34032686200853846,91.4332363754038
2022-12-02,Dupire Delta Hedge,45.905,406.87,0.7191108104419053,71.91108104419052,-27829.547690148207,-3161.5861456984094,50.73602757496337,50.736027574962506,0.0290115239085571,0.7130416080948976,142.16926395036717
2022-12-05,Dupire Delta Hedge,40.94,399.58,0.6644387968762517,66.44387968762517,-25645.18183052363,-3189.5363849423666,-27.950239243957185,-27.950239243955718,0.21845843180563843,5.467201356565354,114.21902470640998
2022-12-06,Dupire Delta Hedge,37.095,393.87,0.6462626345367132,64.62626345367131,-24929.34891490683,-3184.50252840931,5.033856533056678,5.033856533054782,0.07159045060674055,1.8176162339538564,119.25288123946666
2022-12-07,Dupire Delta Hedge,36.73,393.11,0.6404439121993362,64.04439121993362,-24700.631995081585,-3197.1413626134818,-12.638834204171872,-12.638834204169875,0.022873979380462657,0.5818722337376983,106.61404703529479
2022-12-08,Dupire Delta Hedge,38.43,396.26,0.6521273044429405,65.21273044429405,-25163.644392736758,-3165.447826880798,31.693535732683813,31.69353573268465,0.04629661010450669,1.1683392243604374,138.3075827679786
2022-12-09,Dupire Delta Hedge,36.695,393.29,0.641304803865742,64.13048038657419,-24738.048831348635,-3185.672200112869,-20.22437323207123,-20.22437323207152,0.04256381252006442,1.082250057719861,118.08320953590737
2022-12-12,Dupire Delta Hedge,40.515,398.92,0.6476794089507212,64.76794089507212,-24992.370006973233,-3206.643025111065,-20.970824998195894,-20.97082499819257,0.025429574604999172,0.6374605084979237,97.11238453771148
2022-12-13,Dupire Delta Hedge,41.88,401.95,0.7013179383210648,70.13179383210648,-27148.586295083,-3147.1117642678037,59.53126084326141,59.53126084326246,0.21560006880409632,5.363852937034366,156.64364538097288
2022-12-14,Dupire Delta Hedge,39.94499999999999,399.41,0.6484209721814064,64.84209721814064,-25036.039846271364,-3131.957796373812,15.153967893991648,15.15396789399463,0.2112757724584098,5.289696613965845,171.79761327496453
2022-12-15,Dupire Delta Hedge,33.485,389.71,0.610042657436415,61.0042657436415,-23540.548106474696,-3115.0757035201714,16.882092853640643,16.88209285363952,0.14956413039270597,3.83783147449914,188.67970612860518
2022-12-19,Dupire Delta Hedge,28.064999999999998,380.02,0.5686540671617878,56.86540671617878,-21967.856183779077,-3164.3643234968185,-49.28861997664717,-49.2886199766474,0.15728492076163808,4.138859027462715,139.391086151958
2022-12-20,Dupire Delta Hedge,27.96,380.49,0.5715522224321526,57.15522224321526,-22078.139120852175,-3127.1486095311993,37.215713965619216,37.21571396561706,0.011027190988211068,0.28981552703648106,176.60680011757722
2022-12-21,Dupire Delta Hedge,30.795,386.21,0.5959698992422586,59.596989924225866,-23021.268520444886,-3083.8150418096156,43.33356772158368,43.33356772158119,0.09430350960831049,2.441767681010603,219.9403678391609
2022-12-22,Dupire Delta Hedge,27.740000000000002,380.72,0.5720837668797185,57.20837668797185,-22111.96662842139,-3105.593455776743,-21.778413967127563,-21.778413967127815,0.09093928313066293,2.3886132362540167,198.16195387203334
2022-12-23,Dupire Delta Hedge,28.67,382.88,0.5833720972849297,58.337209728492965,-22544.217443735568,-3075.06658289018,30.52687288656307,30.526872886561925,0.04322075945547247,1.1288330405211155,228.6888267585964
2022-12-26,Dupire Delta Hedge,28.655,382.91,0.5814989017062793,58.14989017062793,-22472.498084486655,-3071.8236392515137,3.2429436386664747,3.24294363866636,0.007172653190210177,0.18731955786503818,231.93177039726288
2022-12-27,Dupire Delta Hedge,27.685,381.38,0.573509918023464,57.3509918023464,-22167.844693177416,-3063.8234395985455,8.00019965296815,8.00019965296827,0.03046838596952089,0.7988983682815274,239.93197005023103
2022-12-28,Dupire Delta Hedge,24.92,376.71,0.5403102319313202,54.03102319313202,-20917.304384937746,-3055.277637852985,8.545801745560311,8.545801745563388,0.12506653747771482,3.319968609214378,248.47777179579134
2022-12-29,Dupire Delta Hedge,28.310000000000002,383.33,0.5814594435341307,58.14594435341307,-22494.83485058112,-3036.7500015872865,18.527636265698675,18.527636265697126,0.15773727283705347,4.11492116028105,267.00540806149
2022-12-30,Dupire Delta Hedge,27.55,382.44,0.5775293216053716,57.75293216053716,-22344.546297895962,-3012.5149224201305,24.235079167156073,24.23507916715897,0.015030358304346219,0.39301219287590783,291.2404872286461
