date,strategy,option_price,stock_price,option_delta,stock_position,cash,portfolio_value,daily_pnl,hedging_error,transaction_cost,turnover,cumulative_pnl
2022-10-04,Neural-Network Delta Hedge,33.015,377.8,0.4473934769630432,44.73934769630432,-16904.21581221974,-3303.190252555967,0.0,0.0,1.6902525559663772,44.73934769630432,0.0
2022-10-05,Neural-Network Delta Hedge,32.415,377.12,0.4805036783218384,48.05036783218384,-18152.992591053986,-3273.737874180817,29.452378375150147,29.45237837514861,0.12486519136428834,3.3110201358795166,29.452378375150147
2022-10-06,Neural-Network Delta Hedge,31.115000000000002,373.21,0.41180580854415894,41.180580854415894,-15589.37578040101,-3331.8711997244536,-58.1333255436366,-58.13332554363756,0.25638731979727747,6.869786977767944,-28.680947168486455
2022-10-07,Neural-Network Delta Hedge,25.134999999999998,362.91,0.35195326805114746,35.195326805114746,-13417.484444223834,-3158.248393379641,173.6228063448125,173.62280634481544,0.21721085470318793,5.9852540493011475,144.94185917632603
2022-10-10,Neural-Network Delta Hedge,24.119999999999997,360.07,0.3854244351387024,38.54244351387024,-14622.801277176757,-3156.8236411375,1.4247522421410395,1.4247522421408962,0.12051963133215904,3.347116708755493,146.36661141846707
2022-10-11,Neural-Network Delta Hedge,22.93,357.76,0.3388550877571106,33.88550877571106,-12956.902911750121,-3127.0232921517327,29.800348985767414,29.80034898576705,0.16660649719238282,4.65693473815918,176.1669604042345
2022-10-12,Neural-Network Delta Hedge,22.225,356.58,0.3167029023170471,31.670290231704712,-12167.07927359118,-3096.587182769914,30.436109381818824,30.436109381818365,0.07899026284217835,2.2152185440063477,206.6030697860533
2022-10-13,Neural-Network Delta Hedge,27.09,365.96,0.33691686391830444,33.691686391830444,-12906.90338736467,-3286.0938354104,-189.5066526404862,-189.50665264048575,0.07397501387596131,2.0213961601257324,17.096417145567102
2022-10-14,Neural-Network Delta Hedge,22.54,357.66,0.3088632822036743,30.88632822036743,-11903.639320199569,-3110.8351689029532,175.25866650744683,175.25866650744837,0.10033644036054612,2.8053581714630127,192.35508365301393
2022-10-17,Neural-Network Delta Hedge,27.155,366.79,0.3535909056663513,35.35909056663513,-13544.367877637198,-3290.507048701098,-179.6718797981448,-179.67187979814443,0.16405645009875297,4.4727623462677,12.683203854869134
2022-10-18,Neural-Network Delta Hedge,29.285,371.15,0.34939098358154297,34.9390983581543,-13388.503357470354,-3349.3570018413866,-58.84995314028856,-58.84995314029001,0.01558801081776619,0.41999220848083496,-46.16674928541943
2022-10-19,Neural-Network Delta Hedge,28.04,368.51,0.42714977264404297,42.7149772644043,-16254.279042126116,-3317.3827704204887,31.974231420897922,31.97423142089902,0.28654891357421874,7.77587890625,-14.192517864521506
2022-10-20,Neural-Network Delta Hedge,26.43,365.52,0.4114893674850464,41.14893674850464,-15681.91715466741,-3284.157794353994,33.22497606649449,33.22497606649355,0.0572419129371643,1.5660405158996582,19.032458201972986
2022-10-21,Neural-Network Delta Hedge,31.35,374.3,0.3965386152267456,39.65386152267456,-15122.366458304914,-3414.926090367826,-130.7682960138318,-130.76829601383108,0.05596066570281982,1.4950752258300781,-111.7358378118588
2022-10-24,Neural-Network Delta Hedge,33.95,378.8,0.42831897735595703,42.8318977355957,-16326.326959771188,-3496.6040975275355,-81.67800715970952,-81.67800715971005,0.12038401174545288,3.1780362129211426,-193.41384497156832
2022-10-25,Neural-Network Delta Hedge,37.095,384.81,0.44919347763061523,44.91934776306152,-17129.678932004816,-3553.7647193011107,-57.16062177357526,-57.160621773576736,0.08032716450691223,2.0874500274658203,-250.57446674514358
2022-10-26,Neural-Network Delta Hedge,34.86,382.12,0.4779873490333557,47.79873490333557,-18230.060373187738,-3451.2077919251496,102.5569273759611,102.5569273759604,0.11002714140415192,2.879387140274048,-148.0175393691825
2022-10-27,Neural-Network Delta Hedge,32.995,380.17,0.479101300239563,47.9101300239563,-18272.41369110242,-3357.9195598949555,93.2882320301942,93.28823203019574,0.004234908300638199,0.11139512062072754,-54.72930733898829
2022-10-28,Neural-Network Delta Hedge,38.575,388.97,0.4645315408706665,46.45315408706665,-17705.750432923473,-3494.3670876771575,-136.4475277822021,-136.44752778220177,0.05667199301719666,1.4569759368896484,-191.17683512119038
2022-10-31,Neural-Network Delta Hedge,36.56,386.15,0.4839184880256653,48.39184880256653,-18454.45226001019,-3423.9398448991233,70.42724277803427,70.42724277803075,0.07486269643902779,1.938694715499878,-120.74959234315611
2022-11-01,Neural-Network Delta Hedge,35.32,384.59,0.4801124930381775,48.01124930381775,-18308.092136262516,-3375.4457665072478,48.49407839187552,48.49407839187392,0.014637476122379303,0.3805994987487793,-72.25551395128059
2022-11-02,Neural-Network Delta Hedge,29.939999999999998,374.86,0.35081952810287476,35.081952810287476,-13461.900720306114,-3305.0798898417506,70.36587666549713,70.36587666549893,0.4846676083564758,12.929296493530273,-1.889637285783465
2022-11-03,Neural-Network Delta Hedge,26.229999999999997,371.09,0.36043792963027954,36.043792963027954,-13818.865675512807,-3066.3745448627633,238.70534497898734,238.70534497898691,0.035692926228046415,0.9618401527404785,236.81570769320388
2022-11-04,Neural-Network Delta Hedge,29.355,376.36,0.374769389629364,37.4769389629364,-14358.298441921203,-3188.9776938304585,-122.60314896769523,-122.60314896769418,0.05393788285255432,1.4331459999084473,114.21255872550864
2022-11-07,Neural-Network Delta Hedge,31.455,380.01,0.41354697942733765,41.354697942733765,-15832.03299055299,-3262.3342253347328,-73.35653150427424,-73.35653150427405,0.1473587189912796,3.8777589797973633,40.8560272212344
2022-11-08,Neural-Network Delta Hedge,33.175,382.0,0.44785135984420776,44.785135984420776,-17142.59136521062,-3352.1694191618844,-89.83519382715167,-89.83519382715177,0.13104273319244386,3.4304380416870117,-48.97916660591727
2022-11-09,Neural-Network Delta Hedge,28.605,374.09,0.3802279233932495,38.02279233932495,-14613.119203530143,-3249.6728173120737,102.49660184981076,102.49660184981079,0.2529725134193897,6.762343645095825,53.51743524389349
2022-11-10,Neural-Network Delta Hedge,40.47,394.62,0.5934315323829651,59.34315323829651,-23027.401365564096,-3656.4062346675273,-406.73341735545364,-406.7334173554526,0.8413440817952156,21.320360898971558,-353.21598211156015
2022-11-11,Neural-Network Delta Hedge,43.705,398.61,0.5408716797828674,54.08716797828674,-20932.52258990005,-3743.336562075172,-86.93032740764465,-86.93032740764558,0.20950882844924926,5.255985260009766,-440.1463095192048
2022-11-14,Neural-Network Delta Hedge,40.790000000000006,395.16,0.5377718806266785,53.77718806266785,-20810.043175610434,-3638.4495407666072,104.88702130856473,104.88702130856497,0.012249166345596314,0.3099799156188965,-335.2592882106401
2022-11-15,Neural-Network Delta Hedge,42.855000000000004,398.52,0.5575020909309387,55.75020909309387,-21596.410145489917,-3664.3368177101474,-25.8872769435402,-25.887276943542677,0.07862883410453797,1.9730210304260254,-361.1465651541803
2022-11-16,Neural-Network Delta Hedge,40.56,395.49,0.5448063015937805,54.48063015937805,-21094.354583571898,-3603.810161839472,60.52665587067531,60.52665587067774,0.050210577249526975,1.2695789337158203,-300.61990928350497
2022-11-17,Neural-Network Delta Hedge,39.349999999999994,394.25,0.5687727332115173,56.87727332115173,-22039.325637757825,-3550.4606308937546,53.34953094571756,53.349530945718584,0.0944876566529274,2.3966431617736816,-247.2703783377874
2022-11-18,Neural-Network Delta Hedge,40.085,396.14,0.5253425240516663,52.534252405166626,-20319.05337653005,-3516.6346287473425,33.826002146412065,33.82600214640951,0.17204443056583404,4.343020915985107,-213.44437619137534
2022-11-21,Neural-Network Delta Hedge,39.215,394.59,0.555059015750885,55.5059015750885,-21491.753680794118,-3511.179978279946,5.454650467396277,5.45465046739493,0.11725830459594727,2.971649169921875,-207.98972572397906
2022-11-22,Neural-Network Delta Hedge,42.47,399.9,0.5272790789604187,52.72790789604187,-20380.945100510595,-3542.054732883451,-30.874754603504698,-30.874754603504567,0.11109196722507476,2.777993679046631,-238.86448032748376
2022-11-23,Neural-Network Delta Hedge,43.515,402.42,0.5338529348373413,53.38529348373413,-20645.516663220533,-3513.706859496244,28.347873387207073,28.347873387207475,0.02645451081991196,0.6573855876922607,-210.5166069402767
2022-11-24,Neural-Network Delta Hedge,43.785,402.42,0.6191215515136719,61.91215515136719,-24077.239473476657,-3541.049997463473,-27.343137967229268,-27.343137967228493,0.34313796722888945,8.526861667633057,-237.85974490750596
2022-11-25,Neural-Network Delta Hedge,44.385000000000005,402.33,0.6000642776489258,60.00642776489258,-23310.584847206268,-3606.698764557037,-65.64876709356395,-65.64876709356591,0.07667312994003296,1.9057273864746094,-303.5085120010699
2022-11-28,Neural-Network Delta Hedge,39.64,395.93,0.512437641620636,51.2437641620636,-19841.530387078215,-3516.586842392375,90.11192216466225,90.11192216466252,0.3469401400268078,8.76266360282898,-213.39658983640766
2022-11-29,Neural-Network Delta Hedge,38.915000000000006,395.31,0.5642518401145935,56.42518401145935,-21890.00229445092,-3476.0628028809224,40.52403951145243,40.5240395114533,0.20482670806646347,5.181419849395752,-172.87255032495523
2022-11-30,Neural-Network Delta Hedge,46.82,407.54,0.5273795127868652,52.73795127868652,-20387.45773601947,-3576.633071903565,-100.5702690226426,-100.57026902264198,0.1502694827914238,3.687232732772827,-273.44281934759783
2022-12-01,Neural-Network Delta Hedge,46.79,407.4,0.6338768601417542,63.387686014175415,-24726.593537450768,-3581.450255275704,-4.81718337213897,-4.817183372142095,0.43387019312381747,10.649734735488892,-278.2600027197368
2022-12-02,Neural-Network Delta Hedge,45.905,406.87,0.6255316734313965,62.55316734313965,-24387.086879827613,-3526.5796829243845,54.870572351319424,54.87057235132013,0.033954061168432234,0.8345186710357666,-223.38943036841738
2022-12-05,Neural-Network Delta Hedge,40.94,399.58,0.5314684510231018,53.14684510231018,-20628.884496661074,-3486.468130679972,40.11155224441245,40.11155224441193,0.3758578240990639,9.406322240829468,-183.27787812400493
2022-12-06,Neural-Network Delta Hedge,37.095,393.87,0.5068740248680115,50.68740248680115,-19660.280703756827,-3405.5334862804593,80.93464439951276,80.93464439951278,0.09687006629705429,2.459442615509033,-102.34323372449217
